Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Share_Issued_2019,Stockholders_Equity_2019,Total_Debt_2019,Free_Cash_Flow_2019,Operating_Cash_Flow_2019,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019
,98851581.0,100118494.0,99129455.0,,810100000.0,864800000.0,742700000.0,,1092900000.0,1110500000.0,1230200000.0,,61100000.0,138400000.0,103900000.0,,77600000.0,159600000.0,119200000.0,,-0.14,1.07,0.65,,-13200000.0,101900000.0,62000000.0,,1947600000.0,2025300000.0,1655200000.0,ACCO,100412933.0,773700000.0,922000000.0,171100000.0,203900000.0,1.07,106800000.0,1955700000.0
,54000000.0,34991326.0,34991326.0,,-1184300000.0,147071000.0,176812000.0,,1042400000.0,301566000.0,275713000.0,,59000000.0,-43458000.0,-2900000.0,,415200000.0,43942000.0,45100000.0,,2.06,0.0,0.0,,91500000.0,-42420000.0,-2200000.0,,2425600000.0,768353000.0,547700000.0,ACDC,,,,,,,,
,94504051.0,94111868.0,93379508.0,,178590000.0,158461000.0,127884000.0,,542032000.0,341522000.0,340141000.0,,107999000.0,81002000.0,-3705000.0,,107999000.0,110755000.0,-3705000.0,,0.82,0.34,-0.004937,,74102000.0,31559000.0,-12984000.0,,969797000.0,734707000.0,316352000.0,ACEL,76637470.0,85525000.0,349692000.0,24769000.0,45565000.0,-0.59,-5864000.0,424385000.0
,19624280.0,14310244.0,13233137.0,,-16761272.0,-1723605.0,8224334.0,,11864353.0,393837.0,364311.0,,-30423068.0,-189853.0,-17038317.0,,-30251898.0,-134909.0,-17027415.0,,-1.66,-1.08,-2.06,,-26237315.0,-15373993.0,-22885449.0,,0.0,1260000.0,0.0,ACER,10095176.0,18370316.0,589674.0,-29685916.0,-29506949.0,-2.91,-29417969.0,0.0
,42954820.0,39736914.0,19677249.0,,-238114000.0,-168324000.0,-106325000.0,,21023000.0,20944000.0,21639000.0,,-61547000.0,-64098000.0,-42542000.0,,-44765000.0,-51052000.0,-41552000.0,,-1.7,-2.0,-5.01,,-69790000.0,-61999000.0,-36678000.0,,24990000.0,9730000.0,17903000.0,ACET,19589637.0,-60366000.0,,-28952000.0,-27882000.0,-1.436372,-28138000.0,995000.0
,588250762.0,583289850.0,579000841.0,,12910073000.0,13545896000.0,13105886000.0,,2725410000.0,2724394000.0,3016800000.0,,3763555000.0,3386161000.0,2846633000.0,,3815227000.0,3427555000.0,2886505000.0,,3.9,5.34,3.38,,1476933000.0,2156849000.0,1405521000.0,,9599857000.0,8925107000.0,8294948000.0,ACGL,574617195.0,11497371000.0,2355913000.0,2010622000.0,2048459000.0,3.97,1636319000.0,6783919000.0
,89913659.0,89028158.0,88024395.0,,2812727000.0,2517489000.0,1899456000.0,,1528683000.0,1637409000.0,3225371000.0,,84420000.0,129666000.0,442192000.0,,380569000.0,374477000.0,658807000.0,,3.05,2.15,-7.65,,273139000.0,190635000.0,-672132000.0,,2610399000.0,2314394000.0,2089929000.0,ACHC,87715591.0,2505381000.0,3680491000.0,48222000.0,332904000.0,1.24,108923000.0,3107462000.0
,40932727.0,40603489.0,40621751.0,,197044000.0,289528000.0,189372000.0,,8576000.0,12259000.0,15983000.0,,-67047000.0,-66918000.0,-37099000.0,,-59535000.0,-59284000.0,-25252000.0,,-1.82,-2.13,-0.817272,,-71176000.0,-61099000.0,-33199000.0,,0.0,0.0,0.0,ACHL,40621751.0,101348000.0,487000.0,-15084000.0,-14142000.0,-8.520419,-13990000.0,0.0
,241638935.0,237727536.0,236889750.0,,493300000.0,698900000.0,35900000.0,,22200000.0,23100000.0,3200000.0,,-207300000.0,-111900000.0,-24700000.0,,-200400000.0,-108400000.0,-22800000.0,,-1.32,-3.14,-0.103061,,-317300000.0,-347800000.0,-24800000.0,,0.0,0.0,0.0,ACHR,,,,,,,,
,17897029.0,9453542.0,6111735.0,,8303000.0,28042000.0,37286000.0,,16198000.0,73000.0,169000.0,,-37549000.0,-29440000.0,-13491000.0,,-37549000.0,-29440000.0,-13474000.0,,-4.0,-4.08,-5.42,,-42350000.0,-33152000.0,-14730000.0,,0.0,0.0,0.0,ACHV,1474258.0,18050000.0,362000.0,-15269000.0,-15216000.0,-39.76,-16395000.0,0.0
590968600.0,587904283.0,585574666.0,479026753.0,1610700000.0,3024600000.0,1324300000.0,2278100000.0,14961100000.0,14025600000.0,14466900000.0,14680600000.0,700000000.0,1906900000.0,2272300000.0,428800000.0,2853900000.0,3513400000.0,3902500000.0,1903900000.0,2.29,2.73,1.53,0.974,1513500000.0,1619600000.0,850200000.0,466400000.0,77649700000.0,71887000000.0,69690400000.0,62455100000.0,ACI,,,,,,,,
,43492256.0,43582525.0,43287960.0,,-182039000.0,312406000.0,395753000.0,,150044000.0,158495000.0,160352000.0,,-176160000.0,-300662000.0,-21319000.0,,-173113000.0,-295391000.0,-10471000.0,,-10.91,-1.35,-2.25,,-469855000.0,-57919000.0,-96454000.0,,269791000.0,634527000.0,846656000.0,ACIC,43240157.0,503138000.0,159256000.0,127119000.0,149015000.0,-0.7,-29872000.0,825116000.0
,89834385.0,89700630.0,76936738.0,,168991000.0,231979000.0,215478000.0,,2801000.0,2910000.0,2223000.0,,-74807000.0,-68324000.0,-61223000.0,,-73568000.0,-65689000.0,-59517000.0,,-0.85,-0.97,-0.86,,-70753000.0,-72996000.0,-61921000.0,,3935000.0,0.0,15431000.0,ACIU,71859431.0,272442000.0,2907000.0,53335000.0,55220000.0,0.64,45442000.0,111026000.0
,140525055.0,140525055.0,140525055.0,,1193187000.0,1244777000.0,1206597000.0,,1123782000.0,1109088000.0,1194965000.0,,103488000.0,175105000.0,289669000.0,,143381000.0,220473000.0,336302000.0,,1.25,1.09,0.62,,142177000.0,127791000.0,72660000.0,,1421901000.0,1370598000.0,1294322000.0,ACIW,140525055.0,1129968000.0,1419921000.0,89635000.0,137649000.0,0.58,67062000.0,1258294000.0
,32775000.0,33240000.0,33633000.0,,667256000.0,538959000.0,481602000.0,,46414000.0,47394000.0,48149000.0,,204924000.0,141472000.0,62269000.0,,215607000.0,150190000.0,69703000.0,,5.54,2.94,1.5,,183079000.0,98650000.0,49982000.0,,919998000.0,662428000.0,474560000.0,ACLS,32585000.0,419427000.0,48548000.0,-25563000.0,-13594000.0,0.52,17034000.0,342958000.0
,44105981.0,33543534.0,33543534.0,,204954000.0,-121515000.0,-63720000.0,,88131000.0,,,,-101580000.0,-60021000.0,-29550000.0,,-99303000.0,-54238000.0,-28662000.0,,-5.19,-1.936856,-1.47384,,-188679000.0,-64969000.0,-32095000.0,,0.0,0.0,0.0,ACLX,33543534.0,-32738000.0,,-22604000.0,-18772000.0,-1.6666,-17972000.0,0.0
